product_name,price_per_kg,units_shipped_kg,units_sold_kg,units_on_hand_kg,supplier,sale_date,farm_city,farm_state,year,month,day,turnover_ratio,storage_cost,revenue
Yogurt,3.31,16722,5300,11422,Fresh Dairy Farms,2023-12-31,South Ruthie,NY,2023,12,31,0.316947733524698,3450.7552870090635,17543.0
Milk,1.07,10089,1455,8634,Dairyland Co-op,2023-12-31,Port Ubaldoport,ME,2023,12,31,0.14421647338685697,8069.158878504672,1556.8500000000001
Milk,1.34,18550,14488,4062,Happy Cows Dairy,2023-12-31,Croninstad,SC,2023,12,31,0.7810242587601078,3031.3432835820895,19413.920000000002
Cheese,9.33,7291,5558,1733,Organic Valley,2023-12-31,Lindcester,GA,2023,12,31,0.7623096968865725,185.7449088960343,51856.14
Yogurt,3.18,26056,7884,18172,Organic Valley,2023-12-30,Whitneycester,OK,2023,12,30,0.302579060485109,5714.465408805031,25071.120000000003
Cheese,7.42,22702,1657,21045,Dairyland Co-op,2023-12-30,Wardside,UT,2023,12,30,0.07298916395031274,2836.2533692722373,12294.94
Yogurt,3.15,11602,3991,7611,Organic Valley,2023-12-30,Savannafort,GA,2023,12,30,0.34399241510084466,2416.190476190476,12571.65
Milk,1.13,11150,6769,4381,Happy Cows Dairy,2023-12-30,Savionstead,HI,2023,12,30,0.6070852017937219,3876.991150442478,7648.969999999999
Milk,1.36,10497,4355,6142,Fresh Dairy Farms,2023-12-29,Filomenacester,SD,2023,12,29,0.4148804420310565,4516.176470588235,5922.8
Butter,4.4,48975,17805,31170,Fresh Dairy Farms,2023-12-29,Lilianaberg,MI,2023,12,29,0.36355283307810105,7084.090909090908,78342.0
Milk,0.97,28885,10389,18496,Dairyland Co-op,2023-12-29,South Genevievemouth,NE,2023,12,29,0.35966764756794184,19068.041237113404,10077.33
Milk,1.19,36370,16502,19868,Happy Cows Dairy,2023-12-28,Port Jose,WY,2023,12,28,0.45372559802034645,16695.798319327732,19637.379999999997
Milk,1.27,38641,36052,2589,Fresh Dairy Farms,2023-12-28,Breannatown,AK,2023,12,28,0.9329986283998861,2038.5826771653542,45786.04
